symbol,timestamp,price,rsi,macd,macd_signal,ema_trend,bollinger_pos,momentum,volatility,volume_relative_%,sentiment_score,signal
DENT-USDT,2025-05-12 19:00:00,0.0009276,34.95741028276035,-7.2580128145701556e-06,1.8269903819909326e-07,0,-0.06745285284101235,-4.024831867563376,0.00043140638481453664,1419.3090129455186,0.0,NEUTRO
WIN-USDT,2025-05-12 19:00:00,6.125e-05,40.021810762255534,2.5795875297916944e-08,3.825542898560417e-07,1,-0.01732125493129551,-3.8159547738693504,0.005251928442475018,17.978975114481802,0.0,NEUTRO
MTL-USDT,2025-05-12 19:00:00,0.8859,39.756020783604384,-0.005488141964701931,-0.0016882814968534497,0,0.0292553425819451,-2.5626924769027704,0.007047857224053544,33.8194288099765,0.0,NEUTRO
PERP-USDT,2025-05-12 19:00:00,0.3391,39.37605064081968,-0.001405002157937707,0.0009492837826174692,0,0.011724138331797229,-3.1696173615077097,0.009226190476190554,32.779981814312734,0.0,NEUTRO
ALPHA-USDT,2025-05-12 19:00:00,0.02967,40.41285757299036,-0.00014739590590845397,6.664693453965387e-05,0,0.05958175264473222,-4.104718810601165,0.0126279863481229,4.383858377161606,0.0,NEUTRO
FET-USDT,2025-05-12 19:00:00,0.8255,39.93556490746914,-0.006802610675597176,-0.00024977603039171427,0,0.056346060994739156,-2.790861987753173,0.00916870415647919,38.878534735672496,0.0,NEUTRO
REEF-USDT,2025-05-12 19:00:00,0.000465,41.146409878787196,-5.034528366830546e-06,-1.6138915769428257e-06,0,0.1338333487617872,-6.060606060606054,0.06896551724137945,185.90282512817146,0.0,NEUTRO
SUSHI-USDT,2025-05-12 19:00:00,0.8086,42.46167918368634,-0.0012943257882540582,0.0046904679357485275,0,0.10597051646149216,-2.6252408477842053,0.008984277514349825,41.72848960832397,0.0,NEUTRO
KMD-USDT,2025-05-12 19:00:00,0.1553,29.819820375918724,-0.0013139191343638779,5.56569536372395e-05,0,-0.11967250868560184,-5.015290519877683,0.004527813712807305,22.74844985267716,0.0,NEUTRO
POLS-USDT,2025-05-12 19:00:00,0.233,42.19040793640926,-0.0001988154098506445,0.0004015695168178157,0,0.15489219394896672,-6.350482315112532,0.008658008658008587,0.686621102328792,0.0,NEUTRO
RLC-USDT,2025-05-12 19:00:00,1.3114,38.62895585168321,-0.007644836840816405,0.0014129245939654292,0,-0.01295531891160635,-3.6160517418785925,0.007451793808096907,36.99077196641726,0.0,NEUTRO
CTSI-USDT,2025-05-12 19:00:00,0.0793,42.752687725179726,4.254064253544909e-05,0.0004586680391388826,1,0.11139887499235301,-1.977750309023491,0.0037974683544304,0.3901325638475612,0.0,NEUTRO
DODO-USDT,2025-05-12 19:00:00,0.0582,39.64175756049701,-0.0002699777392823899,0.0002527376257218627,0,-0.0005453011343876346,-2.999999999999994,0.006920415224913601,35.85231720799017,0.0,NEUTRO
FORTH-USDT,2025-05-12 19:00:00,3.0235,44.53705747188824,-0.007614138255471747,0.004312149307124444,0,0.17885709991080512,-2.3417312661498784,0.017020417773890628,104.52435064479175,0.0,NEUTRO
JST-USDT,2025-05-12 19:00:00,0.038,49.74656269237943,0.0001927680341167401,0.00022804324713816517,1,0.46399357764903515,-0.8609444299504406,0.009296148738379806,21.62727668734132,0.0,NEUTRO
OGN-USDT,2025-05-12 19:00:00,0.06995,43.64277495247536,-0.00011830503811342818,0.00022405492502417668,0,0.2063291014612729,-2.236198462613563,0.015534262485481953,3.139603693872681,0.0,NEUTRO
PHA-USDT,2025-05-12 19:00:00,0.1371,42.52320720507172,-0.0006843240162194009,0.00015427758723374736,0,0.13280717156989358,-2.1413276231263403,0.017817371937639326,23.183399449778985,0.0,NEUTRO
